text,category_name,label
ELECTRICAL SCHEMATIC SYMBOLS DO NOT FOLLOW IEEE / IEC STANDARD CONVENTION,Standards,4
Material grade mismatch: structural plates show ASTM A36 instead of high-strength A992 -MWR,Material,10
CLASH WITH PIPING: 6 INCH CS LINE CONFLICTS WITH ELECTRICAL CABLE TRAY AT GRID C-5,Coordination,5
CALCULATION ERROR: THERMAL EXPANSION STRESS EXCEEDS ALLOWABLE CODE STRESS ON LINE 04-ST-201-SS,Calculation,8
FONT SIZE TOO SMALL ON VALVE TAG CALLOUTS: INCREASE TO STANDARD 2.5MM,Cosmetic,3
INTERFERENCE BETWEEN CRANE HOOK TRAVEL ENVELOPE AND LIGHTING FIXTURE LAYOUT -JDM,Coordination,5
Wrong weld symbol: field weld flag indicated instead of shop weld,Technical,0
"Transport limit: modular unit height 45'-0"" exceeds railway overpass clearance -JJD",Feasibility,9
DELTA SYMBOL CALLOUT 3 MISSING ON SHEET 2 REVISION HISTORY TABLE -RJY,Revision,7
Flange material must match pipe material specification ASTM A105 for CS lines,Material,10
Spelling mistake in coating spec note: 'galvanise' should be 'galvanized',Cosmetic,3
Revision cloud missing around modified nozzle connection at grid F-6 -BEK,Revision,7
UPDATE NOTE 8: SPECIFY PAINT AND PROTECTIVE COATING SYSTEM PER CLIENT SPECIFICATION,Notes,11
CODAL COMPLIANCE ISSUE: AISLE CLEARANCE WIDTH BELOW NFPA MINIMUM 36 INCHES,Standards,4
Update general note 12 regarding torque requirements for structural high-strength bolts -UCC,Notes,11
HAZARDOUS AREA CLASSIFICATION BOUNDARY SYMBOL MISSING PER NFPA 497 STANDARD,Standards,4
SAFETY SHOWER SYMBOL ORIENTATION VIOLATES ANSI Z358.1 SPECIFICATION,Standards,4
STANDARD ELECTRICAL GROUNDING SYMBOL MISSING AT TRANSFORMER NEUTRAL CONNECTION,Standards,4
Revision status in title block says Rev 1 but revision table lists Rev 2 By: VSM,Revision,7
Short circuit current rating calculation does not support specified breaker kAIC rating -RJY,Calculation,8
Material grade mismatch: structural plates show ASTM A36 instead of high-strength A992,Material,10
Missing hidden line for underground conduit duct bank on plan view,Drafting,1
DISCREPANCY IN PIPE DIAMETER CALLOUT: 6 INCH INDICATED ON PLAN BUT 8 INCH ON ELEVATION -RJY,Dimension,2
Clash with piping: 6 inch CS line conflicts with electrical cable tray at grid F-6 -JJD,Coordination,5
REVISION TRIANGLE TAG ON PLAN VIEW DOES NOT MATCH REVISION TABLE ENTRY,Revision,7
Pipe span deflection calculation exceeds L/240 criteria under hydrostatic test load,Calculation,8
Anchor bolt projection dimension from top of grout missing -JDM,Dimension,2
Interference between crane hook travel envelope and lighting fixture layout -MWR,Coordination,5
TYPO ERROR IN TITLE: 'STRUCTRAL' SHOULD BE 'STRUCTURAL' BY: VSM,Cosmetic,3
Thermal relief calculation missing for trapped liquid segment on line 174005-S12-04-P08,Calculation,8
BOM item table missing unit weight and total weight column entries By: VSM,BOM,12
Non-standard abbreviation used: replace 'VLV' with standard abbreviation per project code -UCC,Standards,4
UPDATE NOTE 8: SPECIFY PAINT AND PROTECTIVE COATING SYSTEM PER CLIENT SPECIFICATION -BEK,Notes,11
Coordinate with civil lead: concrete pad size insufficient for new pump skid footprint,Coordination,5
Revision issue status changed from IFD to IFC but revision table not updated -UCC,Revision,7
BOM item table missing unit weight and total weight column entries -JDM,BOM,12
Project work order number missing in document control block,Documentation,6
Design calculation inconsistency: vessel wall thickness calculation requires 12mm not 10mm,Calculation,8
REVISION TABLE NOT UPDATED: ADD REV B DESCRIPTION 'INCORPORATED CLIENT COMMENTS',Revision,7
Codal issue: egress platform landing dimensions violate NFPA 101 Life Safety Code,Standards,4
Text overlapping with drawing border at lower right corner -JDM,Cosmetic,3
Text alignment in general notes section is jagged: align left margins By: VSM,Cosmetic,3
MACHINING SYMBOL MISSING ON FLANGE MATING FACE SURFACE FINISH REQUIREMENT -JDM,Technical,0
Coordinate electrical power feed routing with underground drainage piping -JCM,Coordination,5
Drawing cross-reference index table incomplete on cover sheet -JJD,Documentation,6
UPDATE NOTES: ADD NOTE REGARDING POST-WELD HEAT TREATMENT PWHT REQUIREMENT -UCC,Notes,11
MISSING HIDDEN LINE FOR UNDERGROUND CONDUIT DUCT BANK ON PLAN VIEW BY: BREKOL,Drafting,1
"PROVIDE MISSING COORDINATE DIMENSIONS X, Y, Z FOR PIPE SUPPORT SHOE SUP-12 -RJY",Dimension,2
PROJECT CODE AND CAD DRAWING FILE NAME MISSING FROM TITLE BLOCK MARGIN,Documentation,6
Drawing cross-reference index table incomplete on cover sheet -UCC,Documentation,6
FABRICATION FEASIBILITY: TIGHT PIPE SPOOL GEOMETRY CANNOT BE HOT-DIP GALVANIZED WITHOUT POOLING,Feasibility,9
GROUT MATERIAL CALLOUT MUST SPECIFY NON-SHRINK CEMENTITIOUS GROUT PER PROJECT STANDARD -JCM,Material,10
MACHINING FINISH SYMBOL RA 3.2 MISSING ON SHAFT SEAL LANDING,Technical,0
FABRICATION FEASIBILITY: TIGHT PIPE SPOOL GEOMETRY CANNOT BE HOT-DIP GALVANIZED WITHOUT POOLING,Feasibility,9
Wrong gasket material: graphite filled spiral wound required for steam service,Material,10
INTERFERENCE BETWEEN FLARE HEADER EXPANSION LOOP AND EXISTING PIPE RACK COLUMN -BEK,Coordination,5
BOM item table missing unit weight and total weight column entries -BEK,BOM,12
Missing revision cloud on bill of materials row 4 modified quantity,Revision,7
UPDATE GENERAL NOTE 12 REGARDING TORQUE REQUIREMENTS FOR STRUCTURAL HIGH-STRENGTH BOLTS,Notes,11
Coordinate with civil lead: concrete pad size insufficient for new pump skid footprint,Coordination,5
Title block scale box shows 'NTS' but drawing is plotted to scale 1:50,Documentation,6
REVISION CLOUD INCOMPLETE: DOES NOT FULLY ENCLOSE MODIFIED PIPING SPOOL,Revision,7
FLANGE MATERIAL MUST MATCH PIPE MATERIAL SPECIFICATION ASTM A105 FOR CS LINES,Material,10
Valve operation feasibility: hand lever hits structural column when opening valve -JJD,Feasibility,9
DRAFTING VIEW MISMATCH: ISOMETRIC VIEW SHOWS VALVE THAT IS OMITTED ON PLAN VIEW -UCC,Drafting,1
Revision history block missing date and initial for Revision C -RJY,Revision,7
Revision cloud drawn with wrong line weight: must follow revision standard style,Revision,7
Missing break line symbol on truncated pipe spool run,Drafting,1
Interference between crane hook travel envelope and lighting fixture layout -JCM,Coordination,5
Spare parts list in bill of materials does not include replacement gasket sets,BOM,12
Corrosion allowance material buffer omitted in wall thickness specification,Material,10
DRAWING RELEASE STATUS STILL MARKED 'DRAFT': UPDATE TO 'APPROVED FOR CONSTRUCTION',Documentation,6
FABRICATION FEASIBILITY: TIGHT PIPE SPOOL GEOMETRY CANNOT BE HOT-DIP GALVANIZED WITHOUT POOLING,Feasibility,9
Erection feasibility issue: column splice location inaccessible for mobile crane hook -RJY,Feasibility,9
CHECK EQUIPMENT NOZZLE LOAD CONNECTION DETAILS ON T-502 INLET FLANGE -JDM,Technical,0
BOM description missing valve actuator model and air supply pressure rating,BOM,12
Gasket material specified is incompatible with process fluid: change to PTFE / Spiral Wound -BEK,Material,10
DRAFTING VIEW MISMATCH: ISOMETRIC VIEW SHOWS VALVE THAT IS OMITTED ON PLAN VIEW BY: VSM,Drafting,1
Material specification discrepancy between piping line list and isometric drawing -JJD,Material,10
Coordinate electrical power feed routing with underground drainage piping,Coordination,5
Material grade mismatch: structural plates show ASTM A36 instead of high-strength A992 -BEK,Material,10
TRANSFORMER SIZING CALCULATION DOES NOT ACCOUNT FOR CONTINUOUS MOTOR STARTING KVA -JCM,Calculation,8
Check weld symbol pitch and staggered spacing on stiffener plate -UCC,Technical,0
Incorrect general note 4: field verification of existing foundation elevation is mandatory,Notes,11
TUBING MATERIAL CALLOUT INCORRECT: SPECIFY SEAMLESS 316SS INSTRUMENT TUBING,Material,10
PART NUMBER IN BILL OF MATERIALS TABLE DOES NOT MATCH VENDOR CERTIFIED CUT SHEET -JJD,BOM,12
Interference between crane hook travel envelope and lighting fixture layout -BEK,Coordination,5
Piping and structural clash: pipe flange hits bottom flange of W12 beam -MWR,Coordination,5
Vessel nozzle reinforcement pad area calculation insufficient for external piping moment,Calculation,8
Revision status in title block says Rev 1 but revision table lists Rev 2 -JCM,Revision,7
Spelling mistake in coating spec note: 'galvanise' should be 'galvanized',Cosmetic,3
Missing break line symbol on truncated pipe spool run By: VSM,Drafting,1
Equipment transport feasibility: skid width exceeds maximum roadway shipping clearance,Feasibility,9
Verify missing setback dimension from property boundary line -JDM,Dimension,2
Grout material callout must specify non-shrink cementitious grout per project standard By: VSM,Material,10
Coordinate tie-in point TP-143 location between piping and battery limit package,Coordination,5
Missing reference drawing numbers for electrical tie-in in documentation block,Documentation,6
VESSEL NOZZLE REINFORCEMENT PAD AREA CALCULATION INSUFFICIENT FOR EXTERNAL PIPING MOMENT,Calculation,8
Missing match line callout on sheet 4 for continuation on sheet 2,Drafting,1
Wrong valve body material: specify 316L stainless steel for acid injection line -UCC,Material,10
SAFETY RELIEF VALVE SYMBOL DOES NOT COMPLY WITH API 526 STANDARD REPRESENTATION BY: BREKOL,Standards,4
NOTE REFERENCE ERROR: DETAIL REFERS TO NOTE 15 BUT NOTES LIST ONLY GOES UP TO NOTE 11,Notes,11
FABRICATION FEASIBILITY: TIGHT PIPE SPOOL GEOMETRY CANNOT BE HOT-DIP GALVANIZED WITHOUT POOLING,Feasibility,9
Clash detected in 3D model between fire protection sprinkler header and structural brace -JDM,Coordination,5
Revision note missing: reference ECN-4081 in revision description column,Revision,7
Wrong valve body material: specify 316L stainless steel for acid injection line,Material,10
Maintenance feasibility: filter basket cannot be removed without disconnecting piping,Feasibility,9
Note reference error: detail refers to note 15 but notes list only goes up to note 11,Notes,11
FONT HEIGHT INCONSISTENT BETWEEN SHEET TITLE AND DRAWING SUBTITLE,Cosmetic,3
Revision status in title block says Rev 1 but revision table lists Rev 2 -MWR,Revision,7
PART NUMBER IN BILL OF MATERIALS TABLE DOES NOT MATCH VENDOR CERTIFIED CUT SHEET -MWR,BOM,12
Wrong weld symbol: field weld flag indicated instead of shop weld,Technical,0
MACHINING SYMBOL MISSING ON FLANGE MATING FACE SURFACE FINISH REQUIREMENT,Technical,0
Typo in general note: 'valvue' should read 'valve' -RJY,Cosmetic,3
Missing dashed hidden line representing equipment clearance envelope -JCM,Drafting,1
General note regarding field touch-up paint missing from structural drawing -RJY,Notes,11
NON-STANDARD ABBREVIATION USED: REPLACE 'VLV' WITH STANDARD ABBREVIATION PER PROJECT CODE,Standards,4
FIELD WELD ACCESSIBILITY: JOINT LOCATED INSIDE ENCLOSED BOX BEAM CANNOT BE INSPECTED,Feasibility,9
PART NUMBER MISMATCH BETWEEN ASSEMBLY DRAWING AND SUB-ASSEMBLY DETAIL,Technical,0
Project work order number missing in document control block -RJY,Documentation,6
Flow rate calculation discrepancy between PFD heat & material balance and line schedule -JDM,Calculation,8
Typo error in title: 'structral' should be 'structural' -BEK,Cosmetic,3
"Tolerance callout +/- 1/16"" missing on overall skid length dimension By: VSM",Dimension,2
Part number wrong on C-100 bracket mounting assembly: shows FST-882-SS instead of BKT-4081-B,Technical,0
COORDINATE WITH ARCHITECTURAL TEAM: WALL PENETRATION SLEEVE LOCATION CONFLICTS WITH COLUMN -JJD,Coordination,5
Hidden lines showing as solid lines in elevation section view,Drafting,1
Typo error in title block: 'ENGINEERINGG' misspelled with double G,Cosmetic,3
Incorrect pipe schedule XXS specified for design pressure 150 PSI -UCC,Technical,0
Valve handwheel location unreachable from operating platform: add chain wheel operator,Feasibility,9
Revision triangle tag on plan view does not match revision table entry -UCC,Revision,7
RELIEF VALVE SIZING CALCULATION SHEET INDICATES ORIFICE AREA 0.50 SQ IN BUT DRAWING SHOWS 0.38,Calculation,8
HAZARDOUS AREA CLASSIFICATION BOUNDARY SYMBOL MISSING PER NFPA 497 STANDARD -BEK,Standards,4
REVISION CLOUD OVERLAPS DRAWING TITLE BLOCK: REPOSITION CLOUD BOUNDARY -JCM,Revision,7
Update BOM item descriptions to match standard SAP catalog naming conventions,BOM,12
Note discrepancy: note states galvanize all steel but detail indicates painted finish -JJD,Notes,11
CLASH BETWEEN GRAVITY DRAIN LINE SLOPE AND UNDERGROUND ELECTRICAL DUCT BANK -RJY,Coordination,5
Revision history block missing date and initial for Revision C,Revision,7
Missing revision cloud on bill of materials row 4 modified quantity,Revision,7
ELECTRICAL SCHEMATIC SYMBOLS DO NOT FOLLOW IEEE / IEC STANDARD CONVENTION,Standards,4
Multiple revisions mixed on sheet: clear Rev 1 clouds and keep only Rev 2 changes -JCM,Revision,7
Wrong weld symbol: field weld flag indicated instead of shop weld,Technical,0
Leader line crossing dimension string: reroute leader to detail bubble,Drafting,1
REVISION HISTORY BLOCK MISSING DATE AND INITIAL FOR REVISION C -BEK,Revision,7
Revision block shows Rev 0 date but drawing contains Rev 1 markups -RJY,Revision,7
PIPING AND STRUCTURAL CLASH: PIPE FLANGE HITS BOTTOM FLANGE OF W12 BEAM,Coordination,5
Missing client drawing reference number in master title block,Documentation,6
Pipe span deflection calculation exceeds L/240 criteria under hydrostatic test load By: BreKol,Calculation,8
DRAWING STATUS STAMP MISSING: STAMP 'ISSUED FOR CONSTRUCTION' BEFORE RELEASE -UCC,Documentation,6
DRAFTING ERROR: DIMENSION LINE CUTS THROUGH EQUIPMENT OUTLINE -BEK,Drafting,1
Coordinate HVAC supply register location with overhead cable tray run -RJY,Coordination,5
Add mandatory safety note: 'Do not energize equipment prior to interlock validation',Notes,11
Spelling error: 'pressur' missing 'e' in pipe line description -UCC,Cosmetic,3
BOM item 5 size callout shows 4 inch but isometric drawing shows 6 inch pipe -JCM,BOM,12
Wrong gasket material: graphite filled spiral wound required for steam service,Material,10
REINFORCING BAR REBAR GRADE MUST BE ASTM A615 GRADE 60 PER STRUCTURAL SPEC -MWR,Material,10
Weld size undersized: 1/4 inch fillet weld specified but 3/8 inch required for base metal thickness -JJD,Technical,0
Transformer sizing calculation does not account for continuous motor starting kVA -BEK,Calculation,8
Incorrect general note 4: field verification of existing foundation elevation is mandatory,Notes,11
MATERIAL TAKE-OFF MTO LINE ITEM MISSING FOR PIPE REDUCER ON LINE 174005-S12-04-P08 BY: VSM,BOM,12
Clash between gravity drain line slope and underground electrical duct bank,Coordination,5
COORDINATE INSTRUMENT AIR SUPPLY LINE ROUTING WITH CONTROL VALVE MANIFOLD BY: VSM,Coordination,5
TRANSFORMER SIZING CALCULATION DOES NOT ACCOUNT FOR CONTINUOUS MOTOR STARTING KVA,Calculation,8
Overlapping text and leader lines obscuring nozzle callout on C-100 By: BreKol,Drafting,1
General note 2 references obsolete specification document 01-SPEC-1998: update to Rev 2026 -JCM,Notes,11
BEARING PRESSURE CALCULATION UNDER FOOTING EXCEEDS ALLOWABLE SOIL BEARING CAPACITY,Calculation,8
SAFETY SHOWER SYMBOL ORIENTATION VIOLATES ANSI Z358.1 SPECIFICATION -JDM,Standards,4
Drawing status stamp missing: stamp 'ISSUED FOR CONSTRUCTION' before release -RJY,Documentation,6
TEXT ALIGNMENT IN GENERAL NOTES SECTION IS JAGGED: ALIGN LEFT MARGINS,Cosmetic,3
SYSTEM CLASH: CABLE LADDER OBSTRUCTS ACCESS TO EMERGENCY SHOWER STATION,Coordination,5
Flange material must match pipe material specification ASTM A105 for CS lines,Material,10
Documentation hold: pending vendor certified drawing attachment -MWR,Documentation,6
General note 2 references obsolete specification document 01-SPEC-1998: update to Rev 2026,Notes,11
P&ID SYMBOLOGY DOES NOT CONFORM TO COMPANY DRAFTING STANDARD STD-001,Standards,4
Spare parts list in bill of materials does not include replacement gasket sets,BOM,12
Note 5 wording unclear: revise to state clearly 'All dimensions are in millimeters unless noted' By: VSM,Notes,11
"Tolerance callout +/- 1/16"" missing on overall skid length dimension",Dimension,2
Material specification discrepancy between piping line list and isometric drawing,Material,10
Incomplete documentation: missing reference standard specification document number -RJY,Documentation,6
REVISION STATUS IN TITLE BLOCK SAYS REV 1 BUT REVISION TABLE LISTS REV 2 -MWR,Revision,7
WELD SIZE UNDERSIZED: 1/4 INCH FILLET WELD SPECIFIED BUT 3/8 INCH REQUIRED FOR BASE METAL THICKNESS,Technical,0
CL EL EL +14.500m callout missing for pipe centerline on elevation view By: VSM,Dimension,2
Delta symbol callout 3 missing on sheet 2 revision history table -JCM,Revision,7
Geometric tolerancing GD&T frame symbol missing datum reference per ASME Y14.5 By: BreKol,Standards,4
Typo error in title block: 'ENGINEERINGG' misspelled with double G,Cosmetic,3
Bill of materials quantity error: 16 bolts required per flange pair but BOM lists 8,BOM,12
Center-to-center dimension between nozzles N1 and N2 is missing,Dimension,2
Incorrect distance between anchor bolt centers on foundation template -MWR,Dimension,2
TITLE BLOCK INCOMPLETE: PROJECT NUMBER AND DRAWING REVISION LETTER MISSING,Documentation,6
WRONG GASKET MATERIAL: GRAPHITE FILLED SPIRAL WOUND REQUIRED FOR STEAM SERVICE -UCC,Material,10
Hydraulic gradient calculation discrepancy on gravity sewer line slope -JDM,Calculation,8
DELTA REVISION SYMBOL MISSING ON UPDATED ELEVATION CALLOUT -UCC,Revision,7
Field assembly feasibility: provide bolted splice instead of field full-penetration weld,Feasibility,9
HYDRAULIC GRADIENT CALCULATION DISCREPANCY ON GRAVITY SEWER LINE SLOPE,Calculation,8
